tick_size,taker_commission,strike,settlement_period,quote_currency,option_type,min_trade_amount,maker_commission,kind,is_active,instrument_name,expiration_timestamp,creation_timestamp,contract_size,block_trade_commission,base_currency
0.0005,0.0003,45000,month,BTC,put,0.1,0.0003,option,TRUE,BTC-25MAR22-45000-P,25/3/2022 8:00,25/12/2021 19:54,1,0.00015,BTC
0.0005,0.0003,55000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-24JUN22-55000-C,24/6/2022 8:00,31/1/2022 9:17,1,0.00015,BTC
0.0005,0.0003,50000,day,BTC,put,0.1,0.0003,option,TRUE,BTC-10FEB22-50000-P,10/2/2022 8:00,8/2/2022 8:01,1,0.00015,BTC
0.0005,0.0003,41000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-25FEB22-41000-C,25/2/2022 8:00,31/1/2022 20:56,1,0.00015,BTC
0.0005,0.0003,30000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-24JUN22-30000-C,24/6/2022 8:00,24/6/2021 8:00,1,0.00015,BTC
0.0005,0.0003,90000,month,BTC,put,0.1,0.0003,option,TRUE,BTC-30DEC22-90000-P,30/12/2022 8:00,30/12/2021 8:01,1,0.00015,BTC
0.0005,0.0003,70000,week,BTC,put,0.1,0.0003,option,TRUE,BTC-11FEB22-70000-P,11/2/2022 8:00,20/1/2022 8:01,1,0.00015,BTC
0.0005,0.0003,45000,day,BTC,put,0.1,0.0003,option,TRUE,BTC-10FEB22-45000-P,10/2/2022 8:00,8/2/2022 8:01,1,0.00015,BTC
0.0005,0.0003,22000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-25MAR22-22000-C,25/3/2022 8:00,22/6/2021 13:07,1,0.00015,BTC
0.0005,0.0003,400000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-30SEP22-400000-C,30/9/2022 8:00,25/10/2021 16:45,1,0.00015,BTC
0.0005,0.0003,50000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-30SEP22-50000-C,30/9/2022 8:00,23/9/2021 8:05,1,0.00015,BTC
0.0005,0.0003,25000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-24JUN22-25000-C,24/6/2022 8:00,24/6/2021 8:00,1,0.00015,BTC
0.0005,0.0003,120000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-25FEB22-120000-C,25/2/2022 8:00,25/11/2021 11:00,1,0.00015,BTC
0.0005,0.0003,46000,month,BTC,put,0.1,0.0003,option,TRUE,BTC-25FEB22-46000-P,25/2/2022 8:00,16/1/2022 20:56,1,0.00015,BTC
0.0005,0.0003,37000,day,BTC,put,0.1,0.0003,option,TRUE,BTC-9FEB22-37000-P,9/2/2022 8:00,7/2/2022 8:01,1,0.00015,BTC
0.0005,0.0003,60000,month,BTC,put,0.1,0.0003,option,TRUE,BTC-30SEP22-60000-P,30/9/2022 8:00,23/9/2021 8:05,1,0.00015,BTC
0.0005,0.0003,300000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-30SEP22-300000-C,30/9/2022 8:00,13/10/2021 18:32,1,0.00015,BTC
0.0005,0.0003,46000,week,BTC,put,0.1,0.0003,option,TRUE,BTC-18FEB22-46000-P,18/2/2022 8:00,1/2/2022 17:27,1,0.00015,BTC
0.0005,0.0003,40000,month,BTC,put,0.1,0.0003,option,TRUE,BTC-29APR22-40000-P,29/4/2022 8:00,27/1/2022 8:01,1,0.00015,BTC
0.0005,0.0003,80000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-30SEP22-80000-C,30/9/2022 8:00,23/9/2021 8:05,1,0.00015,BTC
0.0005,0.0003,25000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-25FEB22-25000-C,25/2/2022 8:00,14/12/2021 15:57,1,0.00015,BTC
0.0005,0.0003,25000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-30DEC22-25000-C,30/12/2022 8:00,24/1/2022 11:05,1,0.00015,BTC
0.0005,0.0003,400000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-25MAR22-400000-C,25/3/2022 8:00,25/3/2021 14:23,1,0.00015,BTC
0.0005,0.0003,20000,month,BTC,call,0.1,0.0003,option,TRUE,BTC-25FEB22-20000-C,25/2/2022 8:00,24/1/2022 11:09,1,0.00015,BTC
