volume,underlying_price,underlying_index,quote_currency,price_change,open_interest,mid_price,mark_price,low,last,interest_rate,instrument_name,high,estimated_delivery_price,creation_timestamp,bid_price,base_currency,ask_price
29.4,43677.51,BTC-25MAR22,BTC,-9.3458,667.5,0.1055,0.10560364,0.082,0.097,0.0,BTC-25MAR22-45000-P,0.11,43562.57,2022-02-08 13:54:07.305,0.1045,BTC,0.1065
205.4,44413.93,BTC-24JUN22,BTC,5.8965,384.2,0.08625,0.08620018,0.0831,0.088,0.0,BTC-24JUN22-55000-C,0.1,43562.57,2022-02-08 13:54:07.306,0.085,BTC,0.0875
0.0,43531.340924834214,SYN.BTC-10FEB22,BTC,,0.0,,0.14861134,,,0.0,BTC-10FEB22-50000-P,,43562.57,2022-02-08 13:54:07.306,,BTC,
45.9,43584.63,BTC-25FEB22,BTC,22.2222,137.3,0.08625,0.08677012,0.0765,0.0935,0.0,BTC-25FEB22-41000-C,0.095,43562.57,2022-02-08 13:54:07.306,0.0845,BTC,0.088
0.0,44413.75,BTC-24JUN22,BTC,,15.5,0.364,0.36406166,,0.28,0.0,BTC-24JUN22-30000-C,,43562.57,2022-02-08 13:54:07.306,0.36,BTC,0.368
0.0,45863.48,BTC-30DEC22,BTC,,0.0,,1.0336648,,,0.0,BTC-30DEC22-90000-P,,43562.57,2022-02-08 13:54:07.306,,BTC,1.4935
0.0,43513.64,BTC-11FEB22,BTC,,0.0,0.65825,0.60854349,,,0.0,BTC-11FEB22-70000-P,,43562.57,2022-02-08 13:54:07.306,0.108,BTC,1.2085
3.0,43531.340924834214,SYN.BTC-10FEB22,BTC,12.5,3.0,0.03875,0.03921558,0.032,0.036,0.0,BTC-10FEB22-45000-P,0.036,43562.57,2022-02-08 13:54:07.306,0.0365,BTC,0.041
0.0,43677.51,BTC-25MAR22,BTC,,1.2,0.4995,0.49958541,,0.67,0.0,BTC-25MAR22-22000-C,,43562.57,2022-02-08 13:54:07.306,0.4965,BTC,0.5025
0.0,45166.48,BTC-30SEP22,BTC,,265.7,0.001,0.00089796,,0.001,0.0,BTC-30SEP22-400000-C,,43562.57,2022-02-08 13:54:07.306,0.0005,BTC,0.0015
4.7,45166.48,BTC-30SEP22,BTC,0.8523,369.7,0.1785,0.17859356,0.176,0.1775,0.0,BTC-30SEP22-50000-C,0.187,43562.57,2022-02-08 13:54:07.306,0.177,BTC,0.18
15.0,44413.75,BTC-24JUN22,BTC,0.432,35.7,0.458,0.45712827,0.463,0.465,0.0,BTC-24JUN22-25000-C,0.467,43562.57,2022-02-08 13:54:07.306,0.4545,BTC,0.4615
0.0,43584.45,BTC-25FEB22,BTC,,1175.6,,3.281e-05,,0.0005,0.0,BTC-25FEB22-120000-C,,43562.57,2022-02-08 13:54:07.306,,BTC,0.0005
10.7,43584.63,BTC-25FEB22,BTC,5.4217,9.2,0.0855,0.08509161,0.062,0.0875,0.0,BTC-25FEB22-46000-P,0.1135,43562.57,2022-02-08 13:54:07.306,0.0845,BTC,0.0865
5.7,43549.04184905382,SYN.BTC-9FEB22,BTC,0.0,6.0,,8.65e-06,0.0005,0.0005,0.0,BTC-9FEB22-37000-P,0.0005,43562.57,2022-02-08 13:54:07.306,,BTC,0.0005
1.2,45166.48,BTC-30SEP22,BTC,-7.9545,120.7,0.446,0.44703185,0.405,0.405,0.0,BTC-30SEP22-60000-P,0.44,43562.57,2022-02-08 13:54:07.306,0.4395,BTC,0.4525
4.8,45166.48,BTC-30SEP22,BTC,0.0,105.8,0.002,0.00195887,0.002,0.002,0.0,BTC-30SEP22-300000-C,0.002,43562.57,2022-02-08 13:54:07.306,0.0015,BTC,0.0025
25.1,43516.92,BTC-18FEB22,BTC,4.7619,18.1,0.0755,0.07555411,0.051,0.077,0.0,BTC-18FEB22-46000-P,0.0995,43562.57,2022-02-08 13:54:07.306,0.0745,BTC,0.0765
31.8,43960.44846041569,SYN.BTC-29APR22,BTC,-17.3913,98.7,0.07775,0.07774245,0.0655,0.0665,0.0,BTC-29APR22-40000-P,0.0805,43562.57,2022-02-08 13:54:07.306,0.077,BTC,0.0785
10.0,45166.48,BTC-30SEP22,BTC,8.1818,844.2,0.05625,0.05629497,0.0545,0.0595,0.0,BTC-30SEP22-80000-C,0.0595,43562.57,2022-02-08 13:54:07.306,0.055,BTC,0.0575
0.0,43584.45,BTC-25FEB22,BTC,,0.0,0.42225,0.42767048,,,0.0,BTC-25FEB22-25000-C,,43562.57,2022-02-08 13:54:07.306,0.367,BTC,0.4775
0.0,45863.66,BTC-30DEC22,BTC,,0.0,0.5085,0.50974404,,,0.0,BTC-30DEC22-25000-C,,43562.57,2022-02-08 13:54:07.306,0.5035,BTC,0.5135
0.0,43677.51,BTC-25MAR22,BTC,,955.8,,9.24e-06,,0.0005,0.0,BTC-25MAR22-400000-C,,43562.57,2022-02-08 13:54:07.306,,BTC,0.0005
0.0,43584.63,BTC-25FEB22,BTC,,0.1,0.53575,0.54144162,,0.4625,0.0,BTC-25FEB22-20000-C,,43562.57,2022-02-08 13:54:07.306,0.481,BTC,0.5905
0.0,45166.48,BTC-30SEP22,BTC,,488.5,0.2855,0.28551583,,0.3464,0.0,BTC-30SEP22-50000-P,,43562.57,2022-02-08 13:54:07.306,0.28,BTC,0.291
6.3,45863.48,BTC-30DEC22,BTC,-0.321,51.6,0.31625,0.31577405,0.3105,0.3105,0.0,BTC-30DEC22-50000-P,0.3115,43562.57,2022-02-08 13:54:07.306,0.31,BTC,0.3225
6.3,43516.74,BTC-18FEB22,BTC,-33.3333,299.3,0.00075,0.00071825,0.001,0.001,0.0,BTC-18FEB22-28000-P,0.0015,43562.57,2022-02-08 13:54:07.306,0.0005,BTC,0.001
0.0,43513.64,BTC-11FEB22,BTC,,47.2,0.22875,0.21908677,,0.2,0.0,BTC-11FEB22-34000-C,,43562.57,2022-02-08 13:54:07.306,0.1185,BTC,0.339
15.1,43516.92,BTC-18FEB22,BTC,-31.3725,316.1,0.00375,0.00373022,0.0035,0.0035,0.0,BTC-18FEB22-36000-P,0.0051,43562.57,2022-02-08 13:54:07.306,0.0035,BTC,0.004
0.0,43549.04184905382,SYN.BTC-9FEB22,BTC,,0.0,,0.21934149,,,0.0,BTC-9FEB22-34000-C,,43562.57,2022-02-08 13:54:07.306,,BTC,
